t      x          y        theta      v       w        a
3     66.05     71.73     1.58     -6.00     0.47     -2.00
5     71.58     63.05     2.54     -5.00     0.79     0.50
13     71.82     49.72     2.55     7.00     -0.47     1.50
21     82.06     55.44     5.08     -9.00     0.79     -2.00
30     83.94     63.86     5.87     9.00     -0.63     2.00
31     90.58     59.43     5.55     7.00     0.16     -2.00
34     92.45     48.33     0.05     4.00     -2.20     -1.00
39     92.07     37.33     1.73     -6.00     0.16     -2.00
42     90.77     27.10     2.31     -1.50     -1.26     1.50
48     89.78     17.88     1.07     4.50     -0.31     1.00
54     90.81     8.79     5.48     -7.50     0.63     -2.00
58     80.31     7.79     1.72     0.50     1.26     2.00
62     81.55     18.26     0.48     -7.50     0.63     -2.00
67     70.69     14.42     3.93     2.50     -3.30     2.00
73     69.23     13.69     3.00     -3.50     -2.36     -1.00
