t      x          y        theta      v       w        a
5     14.40     92.94     4.72     -2.50     -0.79     -0.50
8     19.20     93.88     2.38     -2.50     -1.26     0.00
12     22.31     95.03     3.75     3.50     0.63     1.50
20     22.75     98.73     2.50     -4.50     -0.63     -1.00
24     26.08     97.44     0.00     3.50     0.00     2.00
26     31.04     97.87     0.02     1.50     0.31     -1.00
28     35.65     96.68     0.95     3.50     -1.26     1.00
30     39.23     93.86     4.83     4.50     -2.20     0.50
36     38.57     90.18     4.22     -4.50     -1.26     -1.50
39     40.02     89.33     0.56     -4.50     -2.67     0.00
41     40.53     93.85     1.81     -4.50     -1.10     0.00
46     40.23     95.98     2.71     5.50     1.26     2.00
52     41.93     92.53     4.07     -6.50     -1.57     -2.00
53     46.80     92.85     2.81     -5.00     -2.36     1.50
58     51.23     88.84     3.90     5.00     1.57     2.00
60     53.93     87.39     1.07     5.00     3.14     0.00
62     53.76     86.87     1.08     5.00     2.83     0.00
66     53.76     84.78     0.14     1.00     -0.31     -1.00
73     57.64     81.90     4.23     -6.00     -1.41     -1.00
75     63.00     81.30     1.42     -2.00     -1.73     2.00
79     67.04     80.42     1.10     4.00     1.41     1.50
83     69.97     83.78     0.58     -4.00     -0.47     -2.00
89     67.37     87.10     4.05     -4.00     -1.41     0.00
93     69.19     91.16     4.79     4.00     0.47     2.00
99     67.67     93.66     1.34     -5.00     -0.47     -1.50
105     71.44     98.16     4.81     7.00     0.47     2.00
108     76.88     94.64     0.25     1.00     2.83     -2.00
110     78.74     95.61     6.21     -3.00     1.26     -2.00
113     81.14     92.45     3.71     -4.50     1.73     -0.50
120     86.81     92.46     3.35     6.00     -1.57     1.50
124     88.27     96.53     3.37     2.00     -0.94     -1.00
129     89.89     98.25     5.05     -3.00     1.41     -1.00
133     91.79     95.69     4.73     5.00     -1.73     2.00
