t      x          y        theta      v       w        a
4     54.78     42.34     0.80     8.00     -0.63     2.00
8     61.31     55.25     4.88     4.00     2.51     -1.00
10     65.44     59.47     3.93     6.00     0.94     1.00
18     85.22     51.49     5.20     2.00     -0.31     -0.50
22     90.63     32.32     3.95     8.00     0.31     1.50
29     93.20     14.90     6.16     -6.00     1.41     -2.00
34     79.50     7.17     0.97     -3.50     -2.51     0.50
39     68.91     2.84     1.28     6.50     1.41     2.00
46     52.15     0.35     4.91     -7.50     0.31     -2.00
49     36.51     12.84     5.86     -7.50     0.79     0.00
53     23.56     20.75     3.03     -3.50     -2.36     1.00
59     9.70     10.22     1.57     8.50     0.47     2.00
