t      x          y        theta      v       w        a
3     75.87     61.53     3.15     3.00     -0.47     1.00
7     71.07     60.81     1.28     -3.00     -1.10     -1.50
10     67.31     64.27     4.28     -4.50     -1.57     -0.50
16     67.94     67.76     1.25     4.50     1.26     1.50
20     63.40     70.32     0.00     -3.50     1.88     -2.00
24     60.34     72.87     1.57     4.50     -1.26     2.00
28     60.41     76.04     2.94     -3.50     0.63     -2.00
31     61.73     80.64     4.93     -3.50     2.04     0.00
32     58.02     82.19     1.00     -5.50     1.26     -2.00
40     60.16     87.10     4.78     -1.50     0.00     0.50
47     55.53     89.40     4.79     -1.50     1.10     0.00
51     54.30     93.90     3.22     -1.50     -2.04     0.00
52     54.79     93.76     1.48     0.50     -1.26     2.00
56     53.64     89.32     3.05     -3.50     1.88     -1.00
60     50.52     92.73     4.42     -1.50     0.00     0.50
63     46.42     94.87     4.72     -4.50     2.36     -1.00
64     42.20     96.87     1.11     -6.50     1.57     -2.00
70     41.44     93.10     4.36     5.50     -1.26     2.00
71     38.26     90.12     3.41     3.50     -0.47     -2.00
73     33.35     90.39     2.48     1.50     -0.16     -1.00
75     28.83     91.38     2.47     3.50     1.41     1.00
82     27.29     87.00     6.20     -3.50     -1.88     -1.00
84     26.49     91.74     2.74     -2.50     -0.31     0.50
88     24.86     92.89     1.49     3.50     0.31     1.50
91     20.58     93.65     2.74     5.00     2.67     0.50
92     17.84     90.75     5.72     5.00     1.88     0.00
96     17.38     89.57     0.71     5.00     1.26     0.00
104     13.84     86.74     4.49     1.00     0.00     -0.50
106     13.41     81.78     4.50     4.00     0.31     1.50
110     9.18     78.09     6.07     4.00     -2.83     0.00
114     6.95     72.43     1.35     -4.00     0.31     -2.00
115     6.83     67.46     1.68     -6.00     0.47     -2.00
116     7.86     62.57     2.46     -4.00     -0.31     2.00
124     5.73     58.20     6.24     8.00     -1.57     1.50
128     4.66     51.62     6.25     0.00     -0.94     -2.00
131     4.63     47.59     3.44     3.00     -0.47     1.00
134     2.81     45.41     2.03     -3.00     -0.94     -2.00
138     5.38     42.01     4.56     3.00     -0.31     1.50
142     9.81     37.73     3.32     -5.00     -0.94     -2.00
146     9.91     33.15     5.84     -3.00     -1.57     0.50
150     10.16     29.58     6.15     5.00     1.57     2.00
156     15.62     23.18     3.12     -7.00     -1.26     -2.00
157     19.61     19.61     2.17     -5.00     -2.04     2.00
159     16.04     15.77     4.68     -2.00     -0.47     1.50
163     12.86     13.01     2.81     4.00     0.16     1.50
